Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,19,2457,1082,693,122,315,5,1060,5292,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src,19,2457,1082,693,122,315,5,1060,5292,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example,19,2457,1082,693,122,315,5,1060,5292,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang,19,2457,1082,693,122,315,5,1060,5292,0,0
