Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,2,227,161,108,1,34,13,32,143,13,48
E:\UTAustin\BttFworkspace\Calc\src\BI,2,227,161,108,1,34,13,32,143,13,48
