File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\UTAustin\BttFworkspace\Calc\src\D\Calc.java,30,11,10,0,11,0,8,24,4,18
E:\UTAustin\BttFworkspace\Calc\src\D\Gui.java,193,148,96,1,27,13,18,105,4,18
