Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,2,223,159,106,1,38,13,26,129,8,36
E:\UTAustin\BttFworkspace\Calc\src\D,2,223,159,106,1,38,13,26,129,8,36
