Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1,26,14,11,0,9,0,3,16,0,0
E:\UTAustin\BttFworkspace\Calc\src\Application,1,26,14,11,0,9,0,3,16,0,0
