Identifier,TypeID,Type,Package,Class,Member,Is_inferred?,Parent_features,Feature,Is_fprivate?,Inferences
Errors.NoValueSet,2,Class,Errors,NoValueSet,,,,EVAL,x,
Errors,1,Package,Errors,,,,,BASE,,
Errors.NoValueSet.NoValueSet,4,Constructor,Errors,NoValueSet,NoValueSet,x,,EVAL,x,Errors.NoValueSet.NoValueSet is a child of Errors.NoValueSet THEN it also is fprivate of EVAL   
Errors.NoTableFound,2,Class,Errors,NoTableFound,,,,TABLE,x,
Errors.NoTableFound.NoTableFound,4,Constructor,Errors,NoTableFound,NoTableFound,x,,TABLE,x,Errors.NoTableFound.NoTableFound is a child of Errors.NoTableFound THEN it also is fprivate of TABLE   
Errors.PinAlreadySet,2,Class,Errors,PinAlreadySet,,,,BASE,,
Errors.PinAlreadySet.PinAlreadySet,4,Constructor,Errors,PinAlreadySet,PinAlreadySet,,,BASE,,
Errors.ValueAlreadySet,2,Class,Errors,ValueAlreadySet,,,,EVAL,x,
Errors.ValueAlreadySet.ValueAlreadySet,4,Constructor,Errors,ValueAlreadySet,ValueAlreadySet,x,,EVAL,x,Errors.ValueAlreadySet.ValueAlreadySet is a child of Errors.ValueAlreadySet THEN it also is fprivate of EVAL   
Errors.NoPinFound,2,Class,Errors,NoPinFound,,,,BASE,,
Errors.NoPinFound.NoPinFound,4,Constructor,Errors,NoPinFound,NoPinFound,,,BASE,,
GatesApp.Feature.base,3,Field,GatesApp,Feature,base,,,BASE,,
GatesApp.Feature,2,Class,GatesApp,Feature,,,,BASE,,
GatesApp.Feature.tables,3,Field,GatesApp,Feature,tables,,,TABLE,,
GatesApp.Feature.constraints,3,Field,GatesApp,Feature,constraints,,,CONSTRAINT,,
GatesApp.Feature.eval,3,Field,GatesApp,Feature,eval,,,EVAL,,
GatesApp.Main,2,Class,GatesApp,Main,,,,BASE,,
GatesApp,1,Package,GatesApp,,,,,BASE,,
GatesApp.Main.main,4,Method,GatesApp,Main,main,,,BASE,,
GatesApp.Main.aCircuit,4,Method,GatesApp,Main,aCircuit,,,BASE,,GatesApp.Main.aCircuit is hook because calls element(s) classified in future features   
GatesApp.Value,2,Class,GatesApp,Value,,,,EVAL,,
GatesApp.Value.TRUE,3,Field,GatesApp,Value,TRUE,,,EVAL,,
GatesApp.Value.FALSE,3,Field,GatesApp,Value,FALSE,,,EVAL,,
GatesApp.MainTest,2,Class,GatesApp,MainTest,,,,BASE,,
GatesApp.MainTest.MainTest,4,Constructor,GatesApp,MainTest,MainTest,,,BASE,,
GatesApp.MainTest.h2Example,4,Method,GatesApp,MainTest,h2Example,,,BASE,,GatesApp.MainTest.h2Example is hook because calls element(s) classified in future features   
GatesApp.MainTest.aEQb,4,Method,GatesApp,MainTest,aEQb,,,BASE,,GatesApp.MainTest.aEQb is hook because calls element(s) classified in future features   
GatesApp.MainTest.aNEb,4,Method,GatesApp,MainTest,aNEb,,,BASE,,GatesApp.MainTest.aNEb is hook because calls element(s) classified in future features   
GatesApp.Value.Value,4,Constructor,GatesApp,Value,Value,,,EVAL,x,
GatesApp.Value.UNKNOWN,3,Field,GatesApp,Value,UNKNOWN,,,EVAL,,
Pins.InputPin,2,Class,Pins,InputPin,,,,BASE,,
Pins,1,Package,Pins,,,,,BASE,,
Pins.InputPin.name,3,Field,Pins,InputPin,name,,,BASE,,
Pins.InputPin.inputOf,3,Field,Pins,InputPin,inputOf,,,BASE,,
Pins.InputPin.wireFrom,3,Field,Pins,InputPin,wireFrom,,,BASE,,
Pins.InputPin.InputPin,4,Constructor,Pins,InputPin,InputPin,,,BASE,,
Pins.InputPin.addWire,4,Method,Pins,InputPin,addWire,,,BASE,,
Pins.OutputPin,2,Class,Pins,OutputPin,,,,BASE,,
Pins.OutputPin.name,3,Field,Pins,OutputPin,name,,,BASE,,
Pins.InputPin.toString,4,Method,Pins,InputPin,toString,,,BASE,,
Pins.InputPin.isUsed,4,Method,Pins,InputPin,isUsed,,,CONSTRAINT,x,
Pins.InputPin.nameOfGate,4,Method,Pins,InputPin,nameOfGate,,,BASE,,
Pins.InputPin.getValue,4,Method,Pins,InputPin,getValue,,,EVAL,x,
Pins.OutputPin.value,3,Field,Pins,OutputPin,value,,,EVAL,,
Pins.OutputPin.outputOf,3,Field,Pins,OutputPin,outputOf,,,BASE,,
Pins.OutputPin.wiresFrom,3,Field,Pins,OutputPin,wiresFrom,,,BASE,,
Pins.OutputPin.OutputPin,4,Constructor,Pins,OutputPin,OutputPin,,,BASE,,Pins.OutputPin.OutputPin is hook because calls element(s) classified in future features   
Pins.OutputPin.addWire,4,Method,Pins,OutputPin,addWire,,,BASE,,
Pins.OutputPin.toString,4,Method,Pins,OutputPin,toString,,,BASE,,
Pins.OutputPin.nameOfGate,4,Method,Pins,OutputPin,nameOfGate,,,CONSTRAINT,,
Pins.OutputPin.isUsed,4,Method,Pins,OutputPin,isUsed,,,CONSTRAINT,x,
Pins.OutputPin.getValue,4,Method,Pins,OutputPin,getValue,,,EVAL,x,
RegTest.Utility,2,Class,RegTest,Utility,,,,BASE,x,
RegTest,1,Package,RegTest,,,,,BASE,x,
RegTest.Utility.autopsy,3,Field,RegTest,Utility,autopsy,x,,BASE,x,RegTest.Utility.autopsy is a child of RegTest.Utility THEN it also is fprivate of BASE   
RegTest.Utility.Utility,4,Constructor,RegTest,Utility,Utility,x,,BASE,x,RegTest.Utility.Utility is a child of RegTest.Utility THEN it also is fprivate of BASE   
RegTest.Utility.sortFile,4,Method,RegTest,Utility,sortFile,x,,BASE,x,RegTest.Utility.sortFile is a child of RegTest.Utility THEN it also is fprivate of BASE   
RegTest.Utility.compareFiles,4,Method,RegTest,Utility,compareFiles,x,,BASE,,RegTest.Utility.compareFiles calls fprivate RegTest.Utility.autopsy THEN it also belongs to BASE   
RegTest.Utility.originalErr,3,Field,RegTest,Utility,originalErr,x,,BASE,x,RegTest.Utility.originalErr is a child of RegTest.Utility THEN it also is fprivate of BASE   
RegTest.Utility.originalOut,3,Field,RegTest,Utility,originalOut,x,,BASE,x,RegTest.Utility.originalOut is a child of RegTest.Utility THEN it also is fprivate of BASE   
RegTest.Utility.outfile,3,Field,RegTest,Utility,outfile,x,,BASE,x,RegTest.Utility.outfile is a child of RegTest.Utility THEN it also is fprivate of BASE   
RegTest.Utility.errfile,3,Field,RegTest,Utility,errfile,x,,BASE,x,RegTest.Utility.errfile is a child of RegTest.Utility THEN it also is fprivate of BASE   
RegTest.Utility.init,4,Method,RegTest,Utility,init,x,,BASE,,RegTest.Utility.init calls fprivate RegTest.Utility.originalOut THEN it also belongs to BASE   
RegTest.Utility.redirectStdOut,4,Method,RegTest,Utility,redirectStdOut,x,,BASE,,RegTest.Utility.redirectStdOut calls fprivate RegTest.Utility.originalOut THEN it also belongs to BASE   
RegTest.Utility.redirectStdErr,4,Method,RegTest,Utility,redirectStdErr,x,,BASE,,RegTest.Utility.redirectStdErr calls fprivate RegTest.Utility.originalErr THEN it also belongs to BASE   
RegTest.Utility.sortedOut,3,Field,RegTest,Utility,sortedOut,x,,BASE,x,RegTest.Utility.sortedOut is a child of RegTest.Utility THEN it also is fprivate of BASE   
RegTest.Utility.sortedCorrect,3,Field,RegTest,Utility,sortedCorrect,x,,BASE,x,RegTest.Utility.sortedCorrect is a child of RegTest.Utility THEN it also is fprivate of BASE   
RegTest.Utility.done,4,Method,RegTest,Utility,done,x,,BASE,,RegTest.Utility.done calls fprivate RegTest.Utility.originalOut THEN it also belongs to BASE   
RegTest.Utility.validate,4,Method,RegTest,Utility,validate,x,,BASE,x,RegTest.Utility.validate calls fprivate RegTest.Utility.sortFile THEN it also belongs to BASE   
logicGates.Wire,2,Class,logicGates,Wire,,,,BASE,,
logicGates,1,Package,logicGates,,,,,BASE,,
logicGates.Printable,2,Class,logicGates,Printable,,,,BASE,,
