Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,73,4793,2378,1541,248,693,1,1722,8861,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src,73,4793,2378,1541,248,693,1,1722,8861,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com,73,4793,2378,1541,248,693,1,1722,8861,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example,73,4793,2378,1541,248,693,1,1722,8861,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree,73,4793,2378,1541,248,693,1,1722,8861,0,0
