Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
guidsl.AstToken.printWhitespaceOnly(AstProperties props),4,Method,guidsl,AstToken,printWhitespaceOnly(AstProperties props),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstTokenInterface.printWhitespaceOnly(AstProperties props),4,Method,guidsl,AstTokenInterface,printWhitespaceOnly(AstProperties props),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstToken.tokenName(),4,Method,guidsl,AstToken,tokenName(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstToken.getTokenName(),4,Method,guidsl,AstToken,getTokenName(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstTokenInterface.getTokenName(),4,Method,guidsl,AstTokenInterface,getTokenName(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstToken.setTokenName(String replacement),4,Method,guidsl,AstToken,setTokenName(String replacement),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstTokenInterface.setTokenName(String replacement),4,Method,guidsl,AstTokenInterface,setTokenName(String replacement),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.EExpr.visit(Visitor v),4,Method,guidsl,EExpr,visit(Visitor v),dmain,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.cnf(),4,Method,guidsl,bterm,cnf(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.cnf2String(),4,Method,guidsl,bterm,cnf2String(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.klone(),4,Method,guidsl,bterm,klone(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.reduce(cterm t),4,Method,guidsl,bterm,reduce(cterm t),clauselist,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.reduce(ArrayList terms),4,Method,guidsl,bterm,reduce(ArrayList terms),clauselist,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.reduce(cnfClause c),4,Method,guidsl,bterm,reduce(cnfClause c),clauselist,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.simplify(),4,Method,guidsl,bterm,simplify(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.toCnfFormat(cnfout out),4,Method,guidsl,bterm,toCnfFormat(cnfout out),cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.toString(),4,Method,guidsl,bterm,toString(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.toXMLString(),4,Method,guidsl,bterm,toXMLString(),cubeInterface,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.name,3,Field,guidsl,bterm,name,bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.bterm.bterm(String n),5,Constructor,guidsl,bterm,bterm(String n),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.variable.find(String name),4,Method,guidsl,variable,find(String name),cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.variable.findNumber(String name),4,Method,guidsl,variable,findNumber(String name),cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.Dispatcher,2,Class,guidsl,Dispatcher,,kernel,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public
guidsl.Dispatcher.dispatch(Object object),4,Method,guidsl,Dispatcher,dispatch(Object object),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.Dispatcher.getVisitMethod(Class baseClass),4,Method,guidsl,Dispatcher,getVisitMethod(Class baseClass),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private
guidsl.Dispatcher.error(Object object; Throwable thrown),4,Method,guidsl,Dispatcher,error(Object object; Throwable thrown),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.Dispatcher.methodMap,3,Field,guidsl,Dispatcher,methodMap,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private
guidsl.Dispatcher.classArray,3,Field,guidsl,Dispatcher,classArray,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private
guidsl.cnfModel.thisModel,3,Field,guidsl,cnfModel,thisModel,cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.cnfModel.model,3,Field,guidsl,cnfModel,model,cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.cnfModel.nvars,3,Field,guidsl,cnfModel,nvars,cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.cnfModel.nclause,3,Field,guidsl,cnfModel,nclause,cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.cnfModel.cnfModel(),5,Constructor,guidsl,cnfModel,cnfModel(),cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.variable.vtsize,3,Field,guidsl,variable,vtsize,gspec,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.grammar.toCnfFormat(cnfout out),4,Method,guidsl,grammar,toCnfFormat(cnfout out),cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.cnfout.close(),4,Method,guidsl,cnfout,close(),cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.cnfout.toString(),4,Method,guidsl,cnfout,toString(),cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.cnfout.getCnt(),4,Method,guidsl,cnfout,getCnt(),cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.AstList.PDump(String indent),4,Method,guidsl,AstList,PDump(String indent),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.PDump(String indent),4,Method,guidsl,AstNode,PDump(String indent),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.addComment(String comment),4,Method,guidsl,AstList,addComment(String comment),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.addComment(String comment),4,Method,guidsl,AstNode,addComment(String comment),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.addComment(String comment; boolean replace),4,Method,guidsl,AstList,addComment(String comment; boolean replace),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.addComment(String comment; boolean replace),4,Method,guidsl,AstNode,addComment(String comment; boolean replace),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.clone(),4,Method,guidsl,AstList,clone(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.dumpnode(),4,Method,guidsl,AstList,dumpnode(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.dumpnode(),4,Method,guidsl,AstNode,dumpnode(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.harvest(Visitor v),4,Method,guidsl,AstList,harvest(Visitor v),dmain,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.print(),4,Method,guidsl,AstList,print(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.print(AstProperties props),4,Method,guidsl,AstList,print(AstProperties props),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.printorder(),4,Method,guidsl,AstList,printorder(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.reduce2java(AstProperties props),4,Method,guidsl,AstList,reduce2java(AstProperties props),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.AstList(),5,Constructor,guidsl,AstList,AstList(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.initClone(AstList copy),4,Method,guidsl,AstList,initClone(AstList copy),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,protected
guidsl.AstList.add(AstListNode x),4,Method,guidsl,AstList,add(AstListNode x),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.add(AstList newList; String separator),4,Method,guidsl,AstList,add(AstList newList; String separator),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.add(AstList newList),4,Method,guidsl,AstList,add(AstList newList),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.addHead(AstListNode x),4,Method,guidsl,AstList,addHead(AstListNode x),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstList.addHead(AstList newList),4,Method,guidsl,AstList,addHead(AstList newList),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.Print_Only_Tokens(),4,Method,guidsl,AstNode,Print_Only_Tokens(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.Print_Only_Tokens(AstProperties props),4,Method,guidsl,AstNode,Print_Only_Tokens(AstProperties props),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.className(),4,Method,guidsl,AstNode,className(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList,2,Class,guidsl,ArgList,,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.NO_LAYER,3,Field,guidsl,ArgList,NO_LAYER,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.NO_CLASS,3,Field,guidsl,ArgList,NO_CLASS,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.layerFilter,3,Field,guidsl,ArgList,layerFilter,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.ArgList.classFilter,3,Field,guidsl,ArgList,classFilter,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.ArgList.csrIndex,3,Field,guidsl,ArgList,csrIndex,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.ArgList.locate(int start),4,Method,guidsl,ArgList,locate(int start),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private
guidsl.ArgList.first(),4,Method,guidsl,ArgList,first(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.first(Class cls),4,Method,guidsl,ArgList,first(Class cls),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.first(int _layer),4,Method,guidsl,ArgList,first(int _layer),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.first(Class cls; int _layer),4,Method,guidsl,ArgList,first(Class cls; int _layer),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.next(),4,Method,guidsl,ArgList,next(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.next(Class cls),4,Method,guidsl,ArgList,next(Class cls),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.next(int _layer),4,Method,guidsl,ArgList,next(int _layer),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.next(Class cls; int _layer),4,Method,guidsl,ArgList,next(Class cls; int _layer),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.find(String name),4,Method,guidsl,ArgList,find(String name),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
