Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,10,1058,467,284,49,128,0,463,2332,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src,10,1058,467,284,49,128,0,463,2332,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang,10,1058,467,284,49,128,0,463,2332,0,0
