File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\Platform.java,80,21,18,2,15,0,44,246,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\PlatformFactory.java,81,36,20,4,8,0,37,166,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\PostOrderInitializedState.java,31,12,8,0,6,0,13,56,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\PostOrderIterator.java,106,49,32,13,12,0,45,224,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\PostOrderUninitializedState.java,19,8,5,0,2,0,9,38,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\PreOrderInitializedState.java,27,11,7,0,3,0,13,55,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\PreOrderIterator.java,61,28,18,6,10,0,23,132,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\PreOrderUninitializedState.java,19,8,5,0,2,0,9,39,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\PrintCommand.java,57,37,18,0,5,0,15,73,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\PrintVisitor.java,45,23,15,0,8,0,14,104,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\QuitCommand.java,27,11,7,0,4,0,12,55,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\SetCommand.java,87,57,31,2,13,0,17,82,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\State.java,123,45,27,4,17,0,61,303,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\Subtract.java,31,17,10,3,4,0,10,49,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\SuccinctModeInputHandler.java,30,10,6,2,3,0,17,87,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\Symbol.java,45,18,13,1,8,0,19,79,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\SymbolTable.java,58,35,22,4,7,0,16,88,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\SynchronizedExpressionTree.java,93,57,39,6,11,0,25,143,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\TreeOps.java,142,59,43,6,21,0,62,316,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\UnaryOperator.java,18,8,5,0,2,0,8,34,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\UninitializedState.java,43,14,8,1,16,0,13,54,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\UninitializedStateFactory.java,62,28,13,2,6,0,28,121,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\UserCommand.java,24,6,5,0,4,0,14,68,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\UserCommandFactory.java,155,73,52,11,19,1,63,308,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\VerboseModeInputHandler.java,50,26,21,2,7,0,17,88,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\Visitor.java,29,9,8,0,7,0,13,72,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\VisitorFactory.java,76,27,17,4,11,0,38,186,0,0
